Math,Science,English,Pass/Fail
72,48,49,fail
99,91,38,pass
99,77,83,pass
86,55,64,pass
95,26,32,fail
72,43,8,fail
24,52,57,fail
68,9,94,fail
36,23,11,fail
6,56,27,fail
96,3,57,fail
60,9,74,fail
63,99,90,pass
54,76,99,pass
52,16,24,fail
9,45,29,fail
81,16,22,fail
83,39,82,pass
22,28,4,fail
1,64,79,fail
52,86,46,pass
85,47,13,fail
92,29,29,fail
78,73,12,fail
54,28,53,fail
31,92,16,fail
34,2,35,fail
99,3,33,fail
39,9,92,fail
63,97,11,fail
56,48,99,pass
50,95,38,pass
44,27,36,fail
70,29,6,fail
10,97,84,pass
31,98,95,pass
98,48,73,pass
81,17,93,pass
59,81,45,pass
91,74,57,pass
65,57,58,pass
78,98,52,pass
57,60,87,pass
79,89,86,pass
99,48,35,pass
62,29,90,pass
67,79,52,pass
51,76,65,pass
51,50,86,pass
46,92,44,pass
61,40,73,fail
100,63,57,pass
62,75,11,fail
2,3,35,fail
42,61,79,pass
6,47,35,fail
68,89,99,pass
55,68,71,pass
57,29,14,fail
89,29,0,fail
11,21,100,fail
81,86,86,pass
2,14,33,fail
54,74,21,fail
89,0,32,fail
70,14,88,fail
45,67,69,pass
38,29,55,fail
68,2,8,fail
7,70,97,fail
0,83,67,fail
78,78,33,pass
56,66,47,fail
28,48,9,fail
63,8,7,fail
36,82,72,pass
44,34,51,fail
3,4,79,fail
20,87,29,fail
25,30,87,fail
17,76,82,fail
86,85,70,pass
98,34,20,fail
99,61,97,pass
68,37,56,fail
76,34,22,fail
12,85,55,fail
77,21,2,fail
33,82,78,pass
52,98,12,fail
12,50,15,fail
0,89,8,fail
49,85,11,fail
32,66,57,fail
81,85,67,pass
2,69,22,fail
15,68,10,fail
87,12,2,fail
11,50,92,fail
75,44,34,fail
66,44,73,pass
69,64,99,pass
4,18,75,fail
43,94,23,fail
95,53,11,fail
63,10,96,fail
63,3,31,fail
50,25,58,fail
97,80,48,pass
77,55,83,pass
100,67,27,pass
88,14,1,fail
14,38,18,fail
30,8,86,fail
78,73,87,pass
52,5,43,fail
79,9,71,fail
37,47,59,fail
85,82,37,pass
49,30,70,fail
10,29,56,fail
49,38,17,fail
55,19,29,fail
2,54,40,fail
17,27,0,fail
5,48,91,fail
94,27,89,pass
40,82,10,fail
36,53,51,fail
23,64,59,fail
54,22,83,fail
19,32,17,fail
